dataset,MSE,MAE
ECL,0.165,0.258
ETTh1,0.447,0.442
ETTh2,0.379,0.405
ETTm1,0.389,0.399
ETTm2,0.286,0.328
PEMS03,0.092,0.197
PEMS04,0.086,0.191
PEMS07,0.075,0.169
PEMS08,0.121,0.204
solar,0.226,0.255
traffic,0.407,0.265
weather,0.252,0.275
